1950,-64
1952,-59
1953,-58
1955,-51
1956,-46
1957,-47
1958,-45
1959,-37
1960,-42
1961,-24
1962,-26
1963,-22
1964,-23
1965,29
1966,46
1967,34
1968,66
1969,74
1970,70
1972,75
1973,67
1974,70
1975,56
1976,43
1977,54
1978,52
1979,74
1980,73
