6,79,-8.93,286
7,79,-8.49,310
8,79,-7.83,277
8,79,-7.74,312
9,79,-7.68,293
9,79,-7.99,278
9,79,-7.76,282
10,79,-8.12,283
10,79,-8.36,294
11,79,-8.08,288
12,79,-8.4,280
1,80,-8.46,288
2,80,-8.52,268
5,80,-8.33,262
6,80,-8.9,259
6,80,-8.18,270
7,80,-8.15,280
8,80,-8.07,274
9,80,-8.28,254
9,80,-7.99,263
10,80,-8.64,251
10,80,-8.53,263
11,80,-9.38,263
11,80,-10,254
11,80,-8.47,260
12,80,-9.17,246
12,80,-8.95,240
1,81,-9.43,247
1,81,-8.99,251
1,81,-8.84,245
2,81,-9.04,245
2,81,-8.73,256
2,81,-9.25,260
3,81,-9.43,252
3,81,-8.82,250
4,81,-8.61,258
4,81,-8.93,255
5,81,-8.28,247
5,81,-8.12,256
6,81,-8.39,264
6,81,-7.99,259
7,81,-7.91,265
7,81,-8.29,271
8,81,-7.41,263
9,81,-8.08,261
10,81,-8.66,264
11,81,-8.66,244
12,81,-8.67,245
1,82,-8.83,252
2,82,-8.74,246
2,82,-8.57,245
2,82,-8.81,234
3,82,-8.93,221
3,82,-9.37,244
4,82,-8.87,243
4,82,-8.7,224
4,82,-8,237
5,82,-8.34,243
5,82,-8.26,240
6,82,-8.29,236
6,82,-7.96,225
6,82,-8.17,235
7,82,-7.69,242
8,82,-7.91,240
8,82,-7.84,233
9,82,-7.83,246
9,82,-7.98,254
9,82,-8.22,235
12,82,-9.1,235
12,82,-8.39,232
12,82,-8.58,229
1,83,-8.52,230
2,83,-8.36,217
3,83,-8.25,239
3,83,-8.5,225
4,83,-8.48,225
4,83,-8.49,219
4,83,-8.85,227
5,83,-8.11,228
5,83,-8.29,230
5,83,-8.36,237
6,83,-8.15,213
6,83,-8.28,227
